id	APOA5	APOC3	CPT1A	MMP1	NR1H3	CYP27A1	APOA2	SCD	SORBS1	PLTP
TCGA-E9-A244	0.022310468	0	3.907747233	13.25663075	3.201731759	22.46678307	0	115.3354398	10.28022386	10.3911113
TCGA-E9-A5FL	0	0	10.99111409	33.66414245	4.405334348	7.589111397	0.277384029	60.34337137	5.922761671	303.3353788
TCGA-E9-A245	0.114617314	0.160312034	18.64744697	0.648344182	3.797694126	8.665835485	0.11752823	71.45536095	1.683568266	6.283146587
TCGA-A8-A0A7	0.026460357	0	11.09182716	15.48817401	10.66404357	19.99863705	0.036176489	241.8450222	1.281332844	84.19554536
TCGA-A8-A08L	0.007752416	0	30.47402921	0.427083334	6.678518832	35.83541799	0.015898605	158.7317952	2.017759111	23.78089661
TCGA-A8-A08A	0.026651803	0.019881137	5.465401884	1.179849629	4.660343856	21.23995945	0.054657349	127.5160948	7.643364727	15.92968111
TCGA-A8-A08R	0	0	35.74032328	12.02785122	9.186419633	29.05157572	0.030411077	127.7339686	10.65706015	34.1954971
TCGA-A8-A09W	0	0	32.04858567	9.462550198	3.023146639	31.43473917	0	448.706066	6.525511126	14.27456195
TCGA-A8-A06Z	0.033597216	0	15.51995396	0.975018509	3.049927591	1.302373627	0	1237.908031	2.943925427	29.86941953
TCGA-A8-A06Q	0.029273901	0	23.06817852	0.011519354	1.957426247	22.94417535	0	842.3755261	0.744621551	6.519474099
TCGA-A8-A09N	0.011168384	0	16.18131995	3.966295775	4.474020744	5.2677783	0	679.443009	1.394407721	10.35793143
TCGA-E9-A1RD	0.018984647	0	7.595697905	0.354849068	5.624757586	3.07527094	0	36.33937565	7.669727119	8.499428616
TCGA-D8-A27P	0.00987561	0	13.30542114	0.884082687	3.783031961	25.21488646	0	283.2148023	6.943369224	11.26794318
TCGA-AN-A04D	0.006975542	0	18.17031773	24.54621119	1.667085374	48.70412529	0	8.554385201	1.67936037	16.57770994
TCGA-AN-A04C	0	0	40.628031	7.350332742	4.48485554	18.84695422	0	48.42921584	0.901589223	14.66327635
TCGA-E9-A248	0.007992723	0.107320307	20.44477726	7.540513602	8.252394153	23.83460609	0.180305686	455.2417927	4.571517056	24.42051546
TCGA-BH-A0HL	0.008215619	0	81.24639916	1.349721887	2.971520218	1.649298529	0	13.87002051	2.328163112	3.039002932
TCGA-BH-A0HO	0.057232452	0	11.28782027	2.145761783	5.258045778	16.03407836	0.039123983	210.00998	6.637606609	9.307304484
TCGA-BH-A0DS	0.032827299	0	12.28132023	14.33856443	6.37643314	22.69223659	0	77.49326648	6.793742955	28.60907536
TCGA-E9-A1R3	0.047206985	0	11.33660116	65.79991798	4.871543767	24.06789521	0.012101473	73.95153435	4.087493784	25.68912745
TCGA-AQ-A54N	0	0	7.978804477	0.07904062	4.135779097	40.06805661	0	2.445129401	5.03729621	66.90444785
TCGA-HN-A2NL	0	0	7.828029565	12.51937578	4.803850305	48.16367478	0	14.83370402	3.312823895	48.82244923
TCGA-AR-A24P	0.013872113	0.015522029	14.08090881	4.749079125	4.504415527	16.35310054	0	36.79148229	3.123521823	15.00793924
TCGA-AN-A04A	0.007320377	0	9.450002929	26.92628481	1.999872623	5.022244606	0.030025164	66.38628361	3.223160662	24.66095725
TCGA-E9-A1R5	0.007538957	0	12.5697029	27.81186398	4.931406088	2.664469183	0	81.51579531	5.544940361	8.86634781
TCGA-BH-A0DQ	0	0	8.513299297	2.998274136	4.240968779	10.23045041	0.019655253	75.80717995	13.47355868	25.29192459
TCGA-UU-A93S	3.63325688	0	21.46045773	0.57443135	8.023234743	3.76198294	0.099790984	531.6371189	0.3748042	5.443144584
TCGA-E2-A1IL	0.012015606	0	21.31409618	0.425535427	8.044619108	19.59385617	0	82.14459326	22.44037176	13.3797389
TCGA-BH-A0E0	0.117923501	0.234576079	3.160086379	0.63159907	20.18320684	24.17556956	0	899.5617387	0.570335994	26.28226024
TCGA-BH-A18G	0	0.029206652	3.220855325	18.09024454	1.623704299	20.10379149	0.026765038	22.71272028	1.281129726	12.83062827
TCGA-A2-A0CU	0.067841959	0.075910921	19.4287615	0.116794925	2.28048432	41.34848553	0	215.1133099	7.973548056	12.06247247
TCGA-BH-A6R9	0	0	8.19973565	119.9563167	3.562270245	9.947684131	0	13.92678091	1.829994572	76.27131803
TCGA-AR-A0TR	0.050648837	0	15.05842659	0.839925933	11.847815	5.448229482	0	54.54440906	9.308581155	3.327651649
TCGA-AN-A0XV	0.00850816	0	21.14285386	1.121574145	5.012483032	19.58426675	0	179.3073948	2.699111698	17.68929821
TCGA-AN-A0XL	0.00924696	0	32.07420559	0.172838364	4.850780422	22.19199828	0	131.3498447	28.86114216	24.23972227
TCGA-AN-A0XW	0	0	11.93635834	10.82917739	6.344223896	12.60893666	0	113.703353	4.000091033	44.83195263
TCGA-BH-A0RX	0.010637546	0	3.761987357	89.7038701	8.213481267	9.792911752	0.130892477	83.53110173	2.955424853	157.4847439
TCGA-AN-A0FF	0.07387842	0	11.55334136	13.12752955	7.714720986	30.97635089	0	26.92567694	4.352262795	21.03836284
